Season,Series Ep Number,Season Ep Number,SeasonEpisode,Title,Directed by,Written by,Original Air Date,US Viewers(MMs),Summary,Category,Is Mulder Here?,Location,Location (commas removed),Latitude,Longitude
1,1,1,Seas1Ep1,"""Pilot""",Robert Mandel,Chris Carter,"September 10, 1993",12,"Agent Dana Scully is assigned to work with Agent Fox Mulder on the X-Files in an attempt to debunk his work on the paranormal. Their first case has them investigating apparent alien abductions. A near comatose man, Billy Miles, is taking his classmates, including Theresa Nemman, into the woods, where they are killed in a flash of bright light.",Alien,Mulder is here,Roseburg Oregon,Roseburg Oregon,43.210497,-123.34528
1,2,2,Seas1Ep2,"""Deep Throat""",Daniel Sackheim,Chris Carter,"September 17, 1993",11.1,"Mulder and Scully travel to Idaho to investigate the disappearance of a military test pilot. They observe unusual aircraft activity, prompting Mulder to proclaim the existence of a government conspiracy. Mulder sneaks onto the military base and is spotlighted by one of the craft, but is captured by soldiers and has his memory erased before he is released.",Secret Government,Mulder is here,Mountain Home Air Force Base,Mountain Home Air Force Base,43.049618,-115.865532
1,3,3,Seas1Ep3,"""Squeeze""",Harry Longstreet,Glen Morgan & James Wong,"September 24, 1993",11.1,"Mulder and Scully investigate a series of murders where there appears to be no tangible method for the murderer's entrance and escape. Eugene Victor Tooms, a seemingly normal janitor, is suspected by Mulder to be a mutant who kills his victims and extracts their livers in order to prolong his existence.",Murder,Mulder is here,"Baltimore, Marlyand",Baltimore Marlyand,39.56106,-76.96838
1,4,4,Seas1Ep4,"""Conduit""",Daniel Sackheim,Alex Gansa & Howard Gordon,"October 1, 1993",9.2,"As Section Chief Scott Blevins expresses his concern with the direction of the X-Files department, Mulder becomes obsessed with solving a case that closely parallels an encounter he experienced as a child, which dealt with alien abduction and an exploration of Mulder's determination to find his sister, Samantha Mulder.",Alien,Mulder is here,"Sioux City, Iowa",Sioux City Iowa,42.496323,-96.406436
1,5,5,Seas1Ep5,"""The Jersey Devil""",Joe Napolitano,Chris Carter,"October 8, 1993",10.4,The murder of a homeless man which is very similar in detail to a murder committed in 1947 leads Mulder and Scully to the legendary man-beast the Jersey Devil roaming in the forests surrounding Atlantic City.,Cryptids,Mulder is here,"Atlantic City, New Jersey",Atlantic City New Jersey,39.360599,-74.431869
1,6,6,Seas1Ep6,"""Shadows""",Michael Katleman,Glen Morgan & James Wong,"October 22, 1993",8.8,"When an unseen force commits several murders where a young woman is present, Mulder suspects that it is the spirit of the woman's former boss who was believed to have committed suicide but was actually murdered and he is protecting her from his business partner.",Murder,Mulder is here,"Philadelphia, Pennsylvania",Philadelphia Pennsylvania,39.951061,-75.16562
1,7,7,Seas1Ep7,"""Ghost in the Machine""",Jerrold Freedman,Alex Gansa & Howard Gordon,"October 29, 1993",9.5,A computer with highly advanced artificial intelligence begins to kill in order to preserve its existence when it is deemed too inefficient to continue controlling the workings of an office building.,A.I.,Mulder might be here,"Arlington, Virginia",Arlington Virginia,38.890763,-77.084755
1,8,8,Seas1Ep8,"""Ice""",David Nutter,Glen Morgan & James Wong,"November 5, 1993",10,"When an Arctic research team mysteriously kill each other and themselves only days after drilling deeper into the ice than ever before, Mulder and Scully accompany a team of doctors and scientists to investigate. They discover an organism which infects living creatures and amplifies the host's feeling of anger and paranoia, and the new team starts to deteriorate as they wonder who among them are killers.",Murder,Mulder is here,"Icy Cape, Alaska",Icy Cape Alaska,36.313467,-82.189901
1,9,9,Seas1Ep9,"""Space""",William Graham,Chris Carter,"November 12, 1993",10.7,"A mysterious force is sabotaging a space launch program which leads directly back to the commander of the team, who once claimed to have seen an alien in space while witnessing Mars from Earth orbit. The alien returns to Earth with him to torment him, and wreck his new space program.",Alien,Mulder might be here,"Merritt Island, Florida",Merritt Island Florida,28.354259,-80.700167
1,10,10,Seas1Ep10,"""Fallen Angel""",Larry Shaw,Howard Gordon & Alex Gansa,"November 19, 1993",8.8,"Mulder puts the future of the X-Files in jeopardy when he heads to a UFO crash site being rapidly covered up by the military. He is arrested and while in jail he meets Max Fenig, a UFO nut whose NICAP group has followed Mulder's work on the X-Files. When Mulder is released, Scully urges him to return to Washington to face his superiors and try to save his job, but Mulder finds out that Fenig is more than meets the eye and ignores Scully to try to save him instead.",Alien,Mulder is here,"Townsend, Wisconsin",Townsend Wisconsin,45.327928,-88.589217
